,North Minus Cook and Collar,Cook and collar,South,Central,Total
2010,14454,56434,9535,12708,93131
2011,14107,54822,9327,12900,91156
2012,13447,53229,9929,13252,89857
2013,12584,52922,10028,12710,88244
2014,12423,49679,9787,12339,84228
2015,12745,47157,10417,13148,83467
2016,12411,43202,10357,13403,79373
2017,11962,41225,10430,12753,76370
2018,11567,38086,10384,12500,72537
2019,11600,37825,10706,12267,72398
2020,7355,22658,6269,7865,44147
2021,8081,20565,6215,8584,43445
2022,8627,23228,6782,8983,47620
2023,9538,25009,6899,9405,50851
2024,9535,26059,6715,9341,51650
