County,Region
Adams,Central Illinois
Alexander,Southern Illinois
Bond,Central Illinois
Boone,Northern Illinois Minus Cook and Collar Counties
Brown,Central Illinois
Bureau,Northern Illinois Minus Cook and Collar Counties
Calhoun,Central Illinois
Carroll,Northern Illinois Minus Cook and Collar Counties
Cass,Central Illinois
Champaign,Central Illinois
Christian,Central Illinois
Clark,Central Illinois
Clay,Southern Illinois
Clinton,Southern Illinois
Coles,Central Illinois
Cook,Cook and Collar Counties
Crawford,Southern Illinois
Cumberland,Central Illinois
De Witt,Central Illinois
DeKalb,Northern Illinois Minus Cook and Collar Counties
Douglas,Central Illinois
DuPage,Cook and Collar Counties
Edgar,Central Illinois
Edwards,Southern Illinois
Effingham,Central Illinois
Fayette,Central Illinois
Ford,Northern Illinois Minus Cook and Collar Counties
Franklin,Southern Illinois
Fulton,Northern Illinois Minus Cook and Collar Counties
Gallatin,Southern Illinois
Greene,Central Illinois
Grundy,Northern Illinois Minus Cook and Collar Counties
Hamilton,Southern Illinois
Hancock,Northern Illinois Minus Cook and Collar Counties
Hardin,Southern Illinois
Henderson,Northern Illinois Minus Cook and Collar Counties
Henry,Northern Illinois Minus Cook and Collar Counties
Iroquois,Northern Illinois Minus Cook and Collar Counties
Jackson,Southern Illinois
Jasper,Central Illinois
Jefferson,Southern Illinois
Jersey,Central Illinois
Jo Daviess,Northern Illinois Minus Cook and Collar Counties
Johnson,Southern Illinois
Kane,Cook and Collar Counties
Kankakee,Northern Illinois Minus Cook and Collar Counties
Kendall,Northern Illinois Minus Cook and Collar Counties
Knox,Northern Illinois Minus Cook and Collar Counties
Lake,Cook and Collar Counties
LaSalle,Northern Illinois Minus Cook and Collar Counties
Lawrence,Southern Illinois
Lee,Northern Illinois Minus Cook and Collar Counties
Livingston,Northern Illinois Minus Cook and Collar Counties
Logan,Central Illinois
Macon,Central Illinois
Macoupin,Central Illinois
Madison,Central Illinois
Marion,Southern Illinois
Marshall,Northern Illinois Minus Cook and Collar Counties
Mason,Central Illinois
Massac,Southern Illinois
McDonough,Northern Illinois Minus Cook and Collar Counties
McHenry,Cook and Collar Counties
McLean,Northern Illinois Minus Cook and Collar Counties
Menard,Central Illinois
Mercer,Northern Illinois Minus Cook and Collar Counties
Monroe,Southern Illinois
Montgomery,Central Illinois
Morgan,Central Illinois
Moultrie,Central Illinois
Ogle,Northern Illinois Minus Cook and Collar Counties
Peoria,Northern Illinois Minus Cook and Collar Counties
Perry,Southern Illinois
Piatt,Central Illinois
Pike,Central Illinois
Pope,Southern Illinois
Pulaski,Southern Illinois
Putnam,Northern Illinois Minus Cook and Collar Counties
Randolph,Southern Illinois
Richland,Southern Illinois
Rock Island,Northern Illinois Minus Cook and Collar Counties
Saline,Southern Illinois
Sangamon,Central Illinois
Schuyler,Central Illinois
Scott,Central Illinois
Shelby,Central Illinois
St. Clair,Southern Illinois
Stark,Northern Illinois Minus Cook and Collar Counties
Stephenson,Northern Illinois Minus Cook and Collar Counties
Tazewell,Northern Illinois Minus Cook and Collar Counties
Union,Southern Illinois
Vermilion,Central Illinois
Wabash,Southern Illinois
Warren,Northern Illinois Minus Cook and Collar Counties
Washington,Southern Illinois
Wayne,Southern Illinois
White,Southern Illinois
Whiteside,Northern Illinois Minus Cook and Collar Counties
Will,Cook and Collar Counties
Williamson,Southern Illinois
Winnebago,Northern Illinois Minus Cook and Collar Counties
Woodford,Northern Illinois Minus Cook and Collar Counties
