,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
,,,,,,,,,,,,,,,,
Murder,338,343,344,348,359,349,354,353,354,357,338,332,327,332,323,6460
,,,,,,,,,,,,,,,,
Class X,422,418,415,400,405,421,429,405,371,367,303,261,282,303,297,7104
,,,,,,,,,,,,,,,,
Class 1 and 2,988,1027,1046,1125,1141,1003,996,839,860,783,490,445,474,531,520,16199
,,,,,,,,,,,,,,,,
Class 3 and 4,1170,1072,1076,1038,980,862,832,678,746,753,282,266,381,361,315,14810
,,,,,,,,,,,,,,,,
Total,2918,2860,2881,2911,2885,2635,2611,2275,2331,2260,1413,1304,1464,1527,1455,44573
