Month,Total Female Pretrial Bookings,Total Female Pretrial ADP
31-Jan-22,2493,1613
28-Feb-22,2547,1706
31-Mar-22,3329,1918
30-Apr-22,3299,1802
31-May-22,3434,1810
30-Jun-22,3343,2008
31-Jul-22,3307,1694
31-Aug-22,3562,1785
30-Sep-22,3258,1746
31-Oct-22,3169,1722
30-Nov-22,2900,1636
31-Dec-22,2743,1604
31-Jan-23,3072,1637
28-Feb-23,2910,1685
31-Mar-23,3396,1780
30-Apr-23,3276,1779
31-May-23,3551,1821
30-Jun-23,3513,1772
31-Jul-23,3433,1702
31-Aug-23,3462,1730
30-Sep-23,3122,1610
31-Oct-23,2738,1432
30-Nov-23,2724,1329
31-Dec-23,2827,1313
31-Jan-24,2818,1335
29-Feb-24,3002,1269
31-Mar-24,3154,1307
30-Apr-24,3179,1309
31-May-24,3504,1386
30-Jun-24,3441,1394
31-Jul-24,3359,1372
31-Aug-24,3544,1456
30-Sep-24,3144,1478
31-Oct-24,3328,1533
30-Nov-24,3015,1525
31-Dec-24,3031,1443
