Year,Misdemeanor,Felony,Total
2001,68702,16587,85289
2002,75798,17119,92917
2003,78718,17779,96497
2004,79252,17900,97152
2005,79883,19893,99776
2006,79774,20021,99795
2007,82470,19461,101931
2008,85960,18450,104410
2009,84877,18038,102915
2010,77070,16093,93163
2011,75291,15889,91180
2012,73936,15971,89907
2013,72065,16227,88292
2014,68109,16128,84237
2015,66942,16530,83472
2016,63217,16162,79379
2017,59933,16455,76388
2018,55816,16742,72558
2019,54877,17538,72415
2020,32058,12092,44150
2021,31617,11845,43462
2022,35145,12494,47639
2023,36687,14179,50866
2024,37261,14401,51662
